Feed-Forward Feature Selection Accuracies for KNearestNeighboors on Cats and Dogs
Feature Count, Accuracy
1, 72.22222222222223
2, 72.22222222222223
3, 73.73737373737373
4, 76.26262626262627
5, 75.75757575757575
6, 75.75757575757575
7, 77.27272727272728
8, 78.28282828282828
9, 77.77777777777777
10, 77.77777777777777
11, 76.76767676767676
12, 77.27272727272728
13, 76.76767676767676
14, 76.76767676767676
15, 76.76767676767676
16, 78.28282828282828
17, 78.28282828282829
18, 78.28282828282828
19, 77.27272727272727
20, 77.77777777777777
21, 77.27272727272728
22, 76.76767676767676
23, 77.27272727272727
24, 76.76767676767676
25, 76.26262626262627
26, 76.76767676767676
27, 76.76767676767676
28, 76.76767676767676
29, 76.76767676767676
30, 76.76767676767676
31, 76.26262626262627
32, 76.76767676767676
33, 76.26262626262627
34, 77.77777777777777
35, 77.27272727272728
36, 77.27272727272727
37, 77.77777777777777
38, 78.28282828282828
39, 78.28282828282828
40, 77.77777777777777
41, 76.76767676767676
42, 76.76767676767676
43, 76.26262626262627
44, 77.27272727272728
45, 76.26262626262626
46, 75.75757575757575
47, 74.74747474747474
48, 74.74747474747474
49, 73.73737373737373
50, 73.73737373737374
51, 73.73737373737373
52, 73.23232323232324
53, 73.73737373737374
54, 74.24242424242425
55, 74.24242424242425
56, 74.24242424242425
57, 74.24242424242425
58, 73.73737373737374
59, 73.73737373737374
60, 73.73737373737374
61, 74.24242424242425
62, 73.73737373737374
63, 73.73737373737374
64, 73.23232323232324
65, 72.72727272727272
66, 72.22222222222223
67, 72.22222222222223
68, 71.71717171717171
69, 71.71717171717171
70, 71.71717171717171
71, 72.22222222222221
72, 72.72727272727272
73, 72.72727272727272
74, 72.22222222222223
75, 72.72727272727272
76, 72.72727272727273
77, 73.23232323232324
78, 73.23232323232324
79, 73.23232323232324
80, 73.73737373737374
81, 72.72727272727273
82, 72.22222222222223
83, 72.22222222222223
84, 72.22222222222223
85, 71.71717171717172
86, 71.71717171717171
87, 71.21212121212122
88, 70.7070707070707
89, 70.20202020202021
90, 70.20202020202021
91, 70.20202020202021
92, 69.6969696969697
93, 69.6969696969697
94, 70.20202020202021
95, 70.20202020202021
96, 69.1919191919192
97, 68.68686868686869
98, 69.6969696969697
99, 67.67676767676768
100, 67.67676767676767
