Feed-Forward Feature Selection Accuracies for MulticlassLogisticClassifier on Cats and Dogs
Feature Count, Accuracy
1, 75.25252525252525
2, 75.75757575757575
3, 75.75757575757575
4, 76.76767676767676
5, 76.26262626262626
6, 75.25252525252526
7, 75.75757575757575
8, 75.75757575757575
9, 76.26262626262626
10, 76.26262626262627
11, 76.76767676767676
12, 78.28282828282828
13, 77.77777777777777
14, 77.27272727272728
15, 77.77777777777777
16, 77.77777777777777
17, 78.28282828282828
18, 78.28282828282828
19, 77.27272727272727
20, 77.27272727272727
21, 77.27272727272727
22, 76.76767676767676
23, 75.75757575757576
24, 75.75757575757576
25, 76.26262626262627
26, 75.75757575757575
27, 75.25252525252526
28, 74.74747474747474
29, 73.73737373737374
30, 73.73737373737373
31, 73.23232323232324
32, 72.72727272727273
33, 73.23232323232324
34, 73.73737373737373
35, 73.23232323232324
36, 72.72727272727273
37, 72.72727272727273
38, 71.71717171717171
39, 72.22222222222223
40, 71.71717171717172
41, 72.72727272727272
42, 72.22222222222223
43, 70.7070707070707
44, 69.69696969696969
45, 70.7070707070707
46, 71.21212121212122
47, 71.71717171717171
48, 70.7070707070707
49, 69.1919191919192
50, 69.69696969696969
51, 69.1919191919192
52, 69.69696969696969
53, 70.7070707070707
54, 69.6969696969697
55, 66.16161616161615
56, 68.18181818181819
57, 65.15151515151516
58, 65.65656565656566
59, 65.65656565656566
60, 64.14141414141415
61, 64.14141414141415
62, 63.131313131313135
63, 62.62626262626263
64, 63.63636363636364
65, 63.131313131313135
66, 63.63636363636363
67, 63.63636363636363
68, 63.13131313131313
69, 63.63636363636363
70, 64.14141414141413
71, 63.63636363636364
72, 62.121212121212125
73, 62.121212121212125
74, 61.111111111111114
75, 60.1010101010101
76, 60.1010101010101
77, 60.101010101010104
78, 59.09090909090909
79, 58.08080808080808
80, 59.5959595959596
81, 58.08080808080808
82, 58.58585858585859
83, 56.56565656565657
84, 57.57575757575758
85, 56.56565656565657
86, 55.05050505050505
87, 54.04040404040404
88, 54.54545454545455
89, 54.54545454545455
90, 53.535353535353536
91, 54.04040404040404
92, 53.535353535353536
93, 53.535353535353536
94, 54.04040404040404
95, 53.535353535353536
96, 54.04040404040404
97, 51.01010101010101
98, 50.505050505050505
99, 50.0
100, 49.494949494949495
