Feed-Forward Feature Selection Accuracies for QDAClassifier on Cats and Dogs
Feature Count, Accuracy
1, 73.73737373737373
2, 75.25252525252526
3, 76.26262626262627
4, 76.26262626262626
5, 76.76767676767676
6, 76.76767676767676
7, 77.27272727272727
8, 77.27272727272727
9, 76.76767676767676
10, 76.26262626262627
11, 76.26262626262627
12, 76.26262626262626
13, 76.26262626262627
14, 76.76767676767676
15, 76.76767676767676
16, 76.76767676767676
17, 76.26262626262627
18, 76.76767676767676
19, 76.76767676767676
20, 75.75757575757575
21, 76.26262626262626
22, 75.75757575757575
23, 76.26262626262626
24, 76.26262626262626
25, 76.26262626262626
26, 76.26262626262626
27, 75.75757575757575
28, 75.75757575757575
29, 75.75757575757575
30, 75.75757575757575
31, 75.75757575757575
32, 75.75757575757575
33, 75.75757575757575
34, 75.75757575757575
35, 75.75757575757575
36, 75.75757575757575
37, 75.75757575757575
38, 75.75757575757575
39, 75.75757575757575
40, 75.75757575757575
41, 75.75757575757575
42, 75.75757575757575
43, 75.75757575757575
44, 75.75757575757575
45, 75.75757575757575
46, 75.75757575757575
47, 75.75757575757575
48, 75.25252525252526
49, 75.25252525252526
50, 75.25252525252526
51, 75.25252525252526
52, 75.25252525252526
53, 75.25252525252526
54, 75.25252525252526
55, 75.25252525252526
56, 75.25252525252526
57, 75.25252525252526
58, 75.25252525252526
59, 75.25252525252526
60, 75.25252525252526
61, 75.25252525252526
62, 75.25252525252526
63, 75.25252525252526
64, 75.25252525252526
65, 75.25252525252526
66, 74.74747474747474
67, 74.74747474747474
68, 74.74747474747474
69, 74.74747474747474
70, 74.74747474747474
71, 74.74747474747474
72, 74.74747474747474
73, 74.74747474747474
74, 74.74747474747474
75, 74.74747474747474
76, 74.74747474747474
77, 74.74747474747474
78, 74.74747474747474
79, 74.74747474747474
80, 74.24242424242425
81, 74.24242424242425
82, 73.73737373737373
83, 73.73737373737373
84, 73.23232323232324
85, 73.73737373737373
86, 73.23232323232324
87, 73.23232323232324
88, 73.23232323232324
89, 72.72727272727273
90, 73.23232323232324
91, 72.72727272727273
92, 72.72727272727273
93, 72.72727272727273
94, 72.22222222222223
95, 72.22222222222223
96, 72.22222222222223
97, 72.22222222222223
98, 72.22222222222223
99, 72.72727272727273
100, 71.71717171717171
